web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url
"1549195645-1042","https://twitter.com/search?l=&q=%23vegan%20since%3A2012-01-01%20until%3A2012-12-31&src=typd","@lunchboxbunch","Kathy Patalsky","#Giveaway (NEW!) Win a @VauteCouture *WINGS* Coat.. http://kblog.lunchboxbunch.com/2012/11/vaute-couture-coat-giveaway.html … + details on VC's West Coast Tour dates coming up! #vegan #fashion","","2","2","1351994570000","7:32 AM - 4 Nov 2012","/lunchboxbunch/status/264910544937553920"
"1549195645-646","https://twitter.com/search?l=&q=%23vegan%20since%3A2012-01-01%20until%3A2012-12-31&src=typd","@readyforplanb","Vegan Velo Ⓥ","#vegan chocolate birthday cake! Yum!!!! pic.twitter.com/Yo7sCrX5","2","3","5","1353712422000","4:43 AM - 24 Nov 2012","/readyforplanb/status/272115736237985793"
"1549195645-573","https://twitter.com/search?l=&q=%23vegan%20since%3A2012-01-01%20until%3A2012-12-31&src=typd","@yummly","Yummly","#Vegan ""Mac & No Cheese"" is the bomb! #recipe http://yumm.ly/hqux3N  http://twitpic.com/bh047c","","6","2","1354041258000","12:04 AM - 28 Nov 2012","/yummly/status/273494976317493250"
"1549195645-1217","https://twitter.com/search?l=&q=%23vegan%20since%3A2012-01-01%20until%3A2012-12-31&src=typd","@LiveVegan","Trisha Roberts","RT If you believe in a nonviolent world free of ALL animal use. You can #makeitpossible Please go #VEGAN. Start here http://www.VeganKit.com","","8","1","1351166087000","5:24 PM - 25 Oct 2012","/LiveVegan/status/261435634382671872"
"1549195645-1008","https://twitter.com/search?l=&q=%23vegan%20since%3A2012-01-01%20until%3A2012-12-31&src=typd","@Veganmainstream","Vegan Mainstream","#Vegan Cream Cheese - It's easy, watch Miyoko show how it's done - http://bit.ly/VtVARv","","3","9","1352170620000","8:27 AM - 6 Nov 2012","/Veganmainstream/status/265648952211304448"
"1549195645-365","https://twitter.com/search?l=&q=%23vegan%20since%3A2012-01-01%20until%3A2012-12-31&src=typd","@KarmaVegan23","Karma","An interesting one! 

#tweet4taiji
#vegan pic.twitter.com/VHXaxaAw","","2","1","1355069926000","9:48 PM - 9 Dec 2012","/KarmaVegan23/status/277809522632970240"
"1549195645-815","https://twitter.com/search?l=&q=%23vegan%20since%3A2012-01-01%20until%3A2012-12-31&src=typd","@WholeFoods","Whole Foods Market","This #vegan dish tastes similar to mashed potatoes but with fewer calories... MASHED CAULIFLOWER: http://bit.ly/XMyd6D  #WFMdish","6","32","32","1353085209000","10:30 PM - 16 Nov 2012","/WholeFoods/status/269485018869534720"
"1549195645-608","https://twitter.com/search?l=&q=%23vegan%20since%3A2012-01-01%20until%3A2012-12-31&src=typd","@OneGreenPlanet","One Green Planet","5 Reasons to Use Vegan Makeup Brushes: http://ow.ly/fxFx1  #vegan #crueltyfree","","12","4","1353895214000","7:30 AM - 26 Nov 2012","/OneGreenPlanet/status/272882423593828354"
"1549195645-1303","https://twitter.com/search?l=&q=%23vegan%20since%3A2012-01-01%20until%3A2012-12-31&src=typd","@Shb33Stacey","Stacey Miller","I want to try Feed Your Face Caramel Sampler by Feed Your Face - Vegan Cuts http://shop.pe/xlYn0T  via @vegancuts #vegan","","2","1","1350840735000","11:02 PM - 21 Oct 2012","/Shb33Stacey/status/260071010064277504"
"1549195645-1359","https://twitter.com/search?l=&q=%23vegan%20since%3A2012-01-01%20until%3A2012-12-31&src=typd","@WebMD","WebMD","Chock full of fresh veggies & laced with citrus, this #vegan Fresh Vegetable Soup with Lime is a favorite #fall #recipe http://on.webmd.com/REquAV","","15","6","1350573133000","8:42 PM - 18 Oct 2012","/WebMD/status/258948608559304704"
"1549195645-1076","https://twitter.com/search?l=&q=%23vegan%20since%3A2012-01-01%20until%3A2012-12-31&src=typd","@OneGreenPlanet","One Green Planet","Why Wait Until 2050? Go Vegan Right Now! http://ow.ly/eWz5m  #vegan #health","1","2","2","1351814434000","5:30 AM - 2 Nov 2012","/OneGreenPlanet/status/264154998550695937"
"1549195645-1033","https://twitter.com/search?l=&q=%23vegan%20since%3A2012-01-01%20until%3A2012-12-31&src=typd","@Mr_GingerBeard","Drake","I wrap my Bacon in more Bacon #bacon #vegan","","2","3","1352073222000","5:23 AM - 5 Nov 2012","/Mr_GingerBeard/status/265240437281943552"
"1549195645-491","https://twitter.com/search?l=&q=%23vegan%20since%3A2012-01-01%20until%3A2012-12-31&src=typd","@HarambeeRecords","Harambee Records","GrapeseedOil #Veganaise... The best #Vegan mayo comes in over 7 types including bbq) #EggFree #GlutenFree #NonGMO http://lockerz.com/s/265729170","3","3","1","1354402730000","4:28 AM - 2 Dec 2012","/HarambeeRecords/status/275011098896388096"
"1549195645-1378","https://twitter.com/search?l=&q=%23vegan%20since%3A2012-01-01%20until%3A2012-12-31&src=typd","@theblendergirl","The Blender Girl","DAY 17 #GlutenFree #Vegan #Recipes @BrevilleUSA @RickiHeller 's Roasted Potato Salad is INCREDIBLE! http://bit.ly/QrZi9w  #Vegetarian #GF","","8","2","1350485696000","8:24 PM - 17 Oct 2012","/theblendergirl/status/258581868558041089"
"1549195645-71","https://twitter.com/search?l=&q=%23vegan%20since%3A2012-01-01%20until%3A2012-12-31&src=typd","@peta2","peta2","Look good, feel good! It's never been easier to help animals, here's our Top 3 Tips on Finding #Vegan Leather: http://bit.ly/Vexh5u","1","5","4","1356645610000","3:30 AM - 28 Dec 2012","/peta2/status/284418419237998592"
